LNF_code,Crop_DE,Crop_EN,Crop_FR,Crop_IT,Valid_from,Valid_until,Overlapping,BPA_QI ,Special_culture,Crop_Label,Crop_Label_lv1,Crop_Label_lv2,Crop_Label_lv3,Exclude,Avg_Area_ha,2019_Area_m2,2020_Area_m2,2021_Area_m22,2022_Area_m23,2023_Area_m24,2024_Area_m25,2025_Area_m26
501,Sommergerste,Spring barley,Orge de printemps,Orzo primaverile,,,0.0,0.0,0.0,Spring Barley,Spring Barley,Spring Cereals,Arable Land,,784,4758856,7858293,9902206,8415374,8000433,7563391,8378097
502,Wintergerste,Winter barley,Orge d’automne,Orzo autunnale,,,0.0,0.0,0.0,Winter Barley,Winter Barley,Winter Cereals,Arable Land,,22284,151343276,174301996,266631521,264194625,252452509,236977754,213970828
504,Hafer,Oats,Avoine,Avena,,,0.0,0.0,0.0,Oat,Oat,Spring Cereals,Arable Land,,1947,8422954,10354388,18914028,27807030,28375474,21135620,21306398
505,Triticale,Triticale,Triticale,Triticale,,,0.0,0.0,0.0,Triticale,Triticale,Winter Cereals,Arable Land,,5951,39073434,43338231,73901246,70658684,64650102,60583416,64388714
506,Mischel Futtergetreide,Mixed fodder cereals,Méteil de céréales fourragères,Miscela di cereali da foraggio,,,0.0,0.0,0.0,Mixed Cereals,Other Cereals,Winter Cereals,Arable Land,True,220,1791629,1851730,2093426,2386864,2362232,2647328,2283381
507,Futterweizen gemäss Sortenliste swiss granum,Fodder wheat according to Swiss Granum list,Blé fourrager selon liste swiss granum,Frumento da foraggio giusta la lista di swiss granum,,,0.0,0.0,0.0,Winter Wheat,Winter Wheat,Winter Cereals,Arable Land,,7672,35567882,64194882,96372938,92349708,84472859,76760696,87305447
508,Körnermais,Grain maize,Maïs grain,Mais da granella,,,0.0,0.0,0.0,Grain Maize,Grain Maize,Summer Cereals,Arable Land,,14623,105991678,128461686,169846542,154588272,152600518,152916033,159236317
509,Reis,Rice,Riz,Riso,,2022.0,0.0,0.0,0.0,Rice,Rice,Rice,Arable Land,,65,15543,867158,1068864,637682,0,0,0
510,Hartweizen,Durum wheat,Blé dur,Grano duro,2023.0,,0.0,0.0,0.0,Durum Wheat,Other Cereals,Winter Cereals,Arable Land,True,283,0,0,0,0,3096723,3784012,1611244
511,"Emmer, Einkorn","Emmer, Einkorn","Amidonnier, engrain","Farro, piccola spelta",,,0.0,0.0,0.0,Ancient Wheat,Other Cereals,Winter Cereals,Arable Land,True,284,3725532,2875601,1975986,3840547,4146042,1614156,1667757
512,Sommerweizen (ohne Futterweizen der Sortenliste swiss granum),Spring wheat (excluding Swiss Granum fodder wheat),Blé de printemps (sans blé fourrager de la liste swiss granum),Frumento primaverile (escl. il frumento da foraggio di swiss granum),,,0.0,0.0,0.0,Spring Wheat,Spring Wheat,Spring Cereals,Arable Land,,1449,4397936,13972423,11530894,10593846,12724334,38104902,10080332
513,Winterweizen (ohne Futterweizen der Sortenliste swiss granum),Winter wheat (excluding Swiss Granum fodder wheat),Blé d'automne (sans blé fourrager de la liste swiss granum),Frumento autunnale (escl. il frumento da foraggio di swiss granum),,,0.0,0.0,0.0,Winter Wheat,Winter Wheat,Winter Cereals,Arable Land,,62817,489299182,483448747,705894900,694036650,673060110,647531156,703898964
514,Roggen,Rye,Seigle,Segale,,,0.0,0.0,0.0,Rye,Rye,Winter Cereals,Arable Land,,1681,9744185,11622510,17706278,18052558,20564782,19317705,20693006
515,Mischel Brotgetreide,Mixed bread cereals,Méteil de céréales panifiables,Miscela di cereali panificabili,,,0.0,0.0,0.0,Mixed Cereals,Other Cereals,Winter Cereals,Arable Land,True,46,110129,319682,393662,579172,533206,572826,692180
516,Dinkel,Spelt,Epeautre,Spelta,,,0.0,0.0,0.0,Spelt,Spelt,Winter Cereals,Arable Land,,6325,33218262,39438305,65997595,78846938,84260613,68757574,72247293
519,Saatmais (Vertragsanbau),Seed maize (contract farming),Semences de maïs (contrat de culture),Mais da semina (coltivazione contrattuale),,,0.0,0.0,0.0,Grain Maize,Grain Maize,Summer Cereals,Arable Land,,158,1616426,1866468,1656461,1864125,1468136,1290739,1296518
520,Trockenreis,Dryland rice,Riz en culture sèche,Riso seminato su terreno asciutto,2023.0,,0.0,0.0,0.0,Rice,Rice,Rice,Arable Land,,56,0,0,0,0,549865,605460,535703
521,Silo- und Grünmais,Silage and green maize,Maïs d'ensilage et maïs vert,Mais da insilamento e verde,,,0.0,0.0,0.0,Silage Maize,Silage Maize,Summer Cereals,Arable Land,,42553,283573485,321069509,452015526,460528602,467384125,489427045,504733708
522,Zuckerrüben,Sugar beets,Betteraves sucrières,Barbabietole da zucchero,,,0.0,0.0,0.0,Sugar Beets,Sugar Beets,Root Crops,Arable Land,,14967,115236703,117213615,160001147,155486860,160121482,166396480,173222577
523,Futterrüben,Fodder beets,Betteraves fourragères,Barbabietole da foraggio,,,0.0,0.0,0.0,Beets,Beets,Root Crops,Arable Land,,284,1471582,1870306,3719776,3496949,3215470,3190678,2914471
524,Kartoffeln,Potatoes,Pommes de terre,Patate,,,0.0,0.0,0.0,Potatoes,Potatoes,Root Crops,Arable Land,,7945,45049718,47831535,91822659,91860772,91618573,92474504,95466833
525,Pflanzkartoffeln (Vertragsanbau),Seed potatoes (contract farming),Plants de pommes de terre (contrat de culture),Tuberi-seme di patate (coltivazione contrattuale),,,0.0,0.0,0.0,Potatoes,Potatoes,Root Crops,Arable Land,,1190,5009878,5168040,14988794,14866895,14794864,14129631,14352855
526,Sommerraps zur Speiseölgewinnung,Spring rapeseed for edible oil,Colza de printemps destiné à la fabrication d’huile comestible,Colza primaverile per l’estrazione di olio commestibile,,,0.0,0.0,0.0,Spring Rapeseed,Rapeseed,Oilseeds,Arable Land,,89,699904,550864,1232502,942600,1064886,596624,1138603
527,Winterraps zur Speiseölgewinnung,Winter rapeseed for edible oil,Colza d’automne destiné à la fabrication d’huile comestible,Colza autunnale per l’estrazione di olio commestibile,,,0.0,0.0,0.0,Winter Rapeseed,Rapeseed,Oilseeds,Arable Land,,22052,161499629,183695476,242568595,245366480,248165778,238142072,224213363
528,Soja,Soybean,Soja,Soia,,,0.0,0.0,0.0,Soybean,Soybean,Oilseeds,Arable Land,,2546,13511709,17309509,22639951,28538824,30317219,32311662,33620312
529,Nassreis,Wetland rice,Riz en culture humide,Riso seminato su terreno bagnato,2023.0,,0.0,0.0,0.0,Rice,Rice,Rice,Arable Land,,19,0,0,0,0,194966,207338,179934
531,Sonnenblumen zur Speiseölgewinnung,Sunflower for edible oil,Tournesol destiné à la fabrication d’huile comestible,Girasole per l’estrazione di olio commestibile,,,0.0,0.0,0.0,Sunflower,Sunflower,Oilseeds,Arable Land,,5546,45444950,35785888,47517268,51344415,62439802,71665097,74038414
534,Lein,Flax,Lin,Lino,,,0.0,0.0,0.0,Flax,Minor Oilseeds,Oilseeds,Arable Land,,180,1001127,810392,2029072,2029964,1879179,2397244,2448857
535,Hanf,Hemp,Chanvre,Canapa,,2021.0,0.0,0.0,0.0,Hemp,Special Crops,Annual Horticulture,Arable Land,,0,,,,,,,
536,Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) ,"Beans and vetches for grain production (e.g., field beans)",Haricots et vesces en grains (p.ex. féveroles),Fagioli e vecce per l’estrazione di granelli (p.es. favette),,,0.0,0.0,0.0,Beans,Beans,Pulses,Arable Land,,774,6962343,7005712,7105598,7565940,7285386,8447693,9787854
537,Erbsen zur Körnergewinnung (z.B. Eiweisserbsen),"Peas for grain production (e.g., protein peas)",Pois en grains (p.ex. pois protéagineux),Piselli per l’estrazione di granelli (p.es. piselli proteici),,,0.0,0.0,0.0,Peas,Peas,Pulses,Arable Land,,2411,22139085,23573226,34282410,25514184,24104029,22946782,16207090
538,Lupinen,Lupins,Lupins,Lupini,,,0.0,0.0,0.0,Lupine,Lupine,Pulses,Arable Land,,259,1133907,1410710,2996492,3342960,3191178,2935714,3100350
539,Ölkürbisse,Oil pumpkins,Courges à huile,Zucche per l’estrazione di olio,,,0.0,0.0,0.0,Oil Pumpkins,Oil Pumpkins,Annual Horticulture,Arable Land,,92,668733,761514,986881,1241967,1063240,806158,940271
540,Kichererbsen,Chickpeas,Pois chiches,Ceci,2023.0,,0.0,0.0,0.0,Chickpeas,Chickpeas,Pulses,Arable Land,True,74,0,0,0,0,1111357,642912,474326
