GT,LNF_code,raw_DE,raw_ENG,1st_tier,2nd_tier,3rd_tier,4th_tier_ENG,categories2024,Pixel Value, Count,match
1,501,Sommergerste,summer barley,Vegetation,Field crops,SmallGrainCereal,SummerBarley,Summer Barley,501,84139,TRUE
2,502,Wintergerste,Winter barley,Vegetation,Field crops,SmallGrainCereal,WinterBarley,Winter Barley,502,2640192,TRUE
3,504,Hafer,oats,Vegetation,Field crops,SmallGrainCereal,Oat,Oat,504,277793,TRUE
4,505,Triticale,triticale,Vegetation,Field crops,SmallGrainCereal,Wheat,Wheat,505,705906,TRUE
5,506,Mischel Futtergetreide,mixed fodder cereals,Vegetation,Field crops,SmallGrainCereal,Grain,Grain,506,23854,TRUE
6,507,Futterweizen gemäss Sortenliste swiss granum,Feed wheat according to the list of varieties swiss granum,Vegetation,Field crops,SmallGrainCereal,Wheat,Wheat,507,923493,TRUE
7,508,Körnermais,grain maize,Vegetation,Field crops,LargeGrainCereal,Maize,Maize grain,508,1542172,TRUE
8,509,Reis,Rice,Vegetation,Field crops,SmallGrainCereal,Rice,Rice,509,6395,TRUE
9,511,"Emmer, Einkorn","wild emmer, einkorn wheat",Vegetation,Field crops,SmallGrainCereal,EinkornWheat,Einkorn wheat,511,38234,TRUE
10,512,Sommerweizen (ohne Futterweizen der Sortenliste swiss granum),summer wheat,Vegetation,Field crops,SmallGrainCereal,SummerWheat,Summer Wheat,512,105769,TRUE
11,513,Winterweizen (ohne Futterweizen der Sortenliste swiss granum),Winter wheat (without forage wheat of the variety list swiss granum),Vegetation,Field crops,SmallGrainCereal,WinterWheat,Winter Wheat,513,6931192,TRUE
12,514,Roggen,rye,Vegetation,Field crops,SmallGrainCereal,Rye,Rye,514,180045,TRUE
13,515,Mischel Brotgetreide,mixed cereals for bread production,Vegetation,Field crops,SmallGrainCereal,Grain,Grain,515,5779,TRUE
14,516,Dinkel,Spelt,Vegetation,Field crops,SmallGrainCereal,Spelt,Spelt,516,788241,TRUE
15,519,Saatmais (Vertragsanbau),maize for seed production (by contract),Vegetation,Field crops,LargeGrainCereal,Maize,Maize seeds,519,18647,TRUE
16,521,Silo- und Grünmais,Mads d'ensilage et mads vert,Vegetation,Field crops,LargeGrainCereal,Maize,Maize silage,521,4602596,TRUE
17,522,Zuckerrüben,Sugar beets,Vegetation,Field crops,BroadLeafRowCrop,Sugar_beets,Sugar_beets,522,1554675,TRUE
18,523,Futterrüben,fodder beet,Vegetation,Field crops,BroadLeafRowCrop,Beets,Beets,523,34979,TRUE
19,524,Kartoffeln,potatoes,Vegetation,Field crops,BroadLeafRowCrop,Potatoes,Potatoes,524,917989,TRUE
20,525,Pflanzkartoffeln (Vertragsanbau),potatoes for planting (by contract),Vegetation,Field crops,BroadLeafRowCrop,Potatoes,Potatoes,525,148652,TRUE
21,526,Sommerraps zur Speiseölgewinnung,summer rapeseed for oil production,Vegetation,Field crops,BroadLeafRowCrop,SummerRapeseed,Summer Rapeseed,526,9426,TRUE
22,527,Winterraps zur Speiseölgewinnung,Winter rape for cooking oil,Vegetation,Field crops,BroadLeafRowCrop,WinterRapeseed,Winter Rapeseed,527,2453089,TRUE
23,528,Soja,soy,Vegetation,Field crops,BroadLeafRowCrop,Soy,Soy,528,285505,TRUE
24,531,Sonnenblumen zur Speiseölgewinnung,Sunflowers,Vegetation,Field crops,BroadLeafRowCrop,Sunflowers,Sunflowers,531,513134,TRUE
25,534,Lein,flax,Vegetation,Field crops,BroadLeafRowCrop,Linen,Linen,534,20302,TRUE
26,535,Hanf,hemp,Vegetation,Field crops,BroadLeafRowCrop,Hemp,Hemp,,,FALSE
27,536,Ackerbohnen zu Futterzwecken,Field beans for animal feed,Vegetation,Field crops,BroadLeafRowCrop,Field bean,Field bean,536,75621,TRUE
28,537,Eiweisserbsen zu Futterzwecken,protein peas for animal fodder,Vegetation,Field crops,BroadLeafRowCrop,Peas,Peas,537,255364,TRUE
29,538,Lupinen zu Futterzwecken,lupine for fodder,Vegetation,Field crops,BroadLeafRowCrop,Lupine,Lupine,538,33493,TRUE
30,539,Ölkürbisse,oil pumpkins,Vegetation,Field crops,VegetableCrop,Pumpkin,Pumpkin,539,12404,TRUE
31,541,Tabak,tobacco,Vegetation,Field crops,BroadLeafRowCrop,Tobacco,Tobacco,541,39083,TRUE
32,542,Hirse,millet,Vegetation,Field crops,LargeGrainCereal,Sorghum,Sorghum,542,28091,TRUE
33,543,Getreide siliert,Ensiled grain,Vegetation,Field crops,SmallGrainCereal,Grain,Grain,543,59176,TRUE
34,544,Leindotter,false flax (camelina sativa),Vegetation,Field crops,BroadLeafRowCrop,Linen,Linen,544,1782,TRUE
35,545,"Einjährige Freilandgemüse, ohne Konservengemüse","Annual free-range vegetables, without canned vegetables",Vegetation,Field crops,VegetableCrop,Vegetables,Vegetables,545,1034336,TRUE
36,546,Freiland-Konservengemüse,Ground-canned vegetables,Vegetation,Field crops,VegetableCrop,Vegetables,Vegetables,546,171124,TRUE
37,547,Wurzeln der Treibzichorie,chicory roots,Vegetation,Field crops,VegetableCrop,Chicory,Chicory,547,38028,TRUE
38,548,Buchweizen,buckwheat,Vegetation,Field crops,SmallGrainCereal,Buckwheat,Buckwheat,548,8219,TRUE
39,549,Sorghum,sorghum,Vegetation,Field crops,LargeGrainCereal,Sorghum,Sorghum,549,28751,TRUE
40,551,Einjährige Beeren (z.B. Erdbeeren),"Annual berries (e.g., strawberries)",Vegetation,Special crops,Berries,Berries,Berries,551,50842,TRUE
41,552,"Einjährige nachwachsende Rohstoffe (Kenaf, usw.)",single-year regrowing ressources (Kenaf and others),Vegetation,Special crops,,,SpecialCrops,552,26,TRUE
42,553,Einjährige Gewürz- und Medizinalpflanzen,Annual spice and medicinal plants,Vegetation,Special crops,,,SpecialCrops,553,13606,TRUE
43,554,"Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen usw.)","Annual horticultural outdoor crops (flowers, turf etc.)",Vegetation,Special crops,,,Gardens,554,30224,TRUE
44,555,Ackerschonstreifen,Conservation headlands,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,Biodiversity promotion area,555,42456,TRUE
45,556,Buntbrache,fallow,Vegetation,Special crops,Fallow,Fallow,Fallow extensive,556,222253,TRUE
46,557,Rotationsbrache,rotational set-aside,Vegetation,Special crops,Fallow,Fallow,Fallow,557,57512,TRUE
47,559,Saum auf Ackerflächen,Hem on arable land,Vegetation,Grassland,Meadow,,Field margin,559,24709,TRUE
48,566,Mohn,Poppy,Vegetation,Special crops,,,,566,1143,TRUE
49,567,Saflor,safflower,Vegetation,Special crops,,,,567,374,TRUE
50,568,Linsen,lentils,Vegetation,Field crops,CropMix,,Lentils,568,19421,TRUE
