LNF_code,Crop_DE,Crop_EN,HCATv4_Identifier
501,Sommergerste,Spring barley,3310104002
502,Wintergerste,Winter barley,3310104001
504,Hafer,Oats,3310105000
505,Triticale,Triticale,3310108000
506,Mischel Futtergetreide,Mixed fodder cereals,3310111000
507,Futterweizen gemäss Sortenliste swiss granum,Fodder wheat according to Swiss Granum list,3310101001
508,Körnermais,Grain maize,3310106000
509,Reis,Rice,3310107000
510,Hartweizen,Durum wheat,3310102000
511,"Emmer, Einkorn","Emmer, Einkorn",3310112000
511,"Emmer, Einkorn","Emmer, Einkorn",3310113000
512,Sommerweizen (ohne Futterweizen der Sortenliste swiss granum),Spring wheat (excluding Swiss Granum fodder wheat),3310101002
513,Winterweizen (ohne Futterweizen der Sortenliste swiss granum),Winter wheat (excluding Swiss Granum fodder wheat),3310101001
514,Roggen,Rye,3310103000
515,Mischel Brotgetreide,Mixed bread cereals,3310111000
516,Dinkel,Spelt,3310110000
519,Saatmais (Vertragsanbau),Seed maize (contract farming),3310106000
520,Trockenreis,Dryland rice,3310107000
521,Silo- und Grünmais,Silage and green maize,3310106000
522,Zuckerrüben,Sugar beets,3310719010
523,Futterrüben,Fodder beets,3310719020
524,Kartoffeln,Potatoes,3310300000
525,Pflanzkartoffeln (Vertragsanbau),Seed potatoes (contract farming),3310300000
526,Sommerraps zur Speiseölgewinnung,Spring rapeseed for edible oil,3310604012
527,Winterraps zur Speiseölgewinnung,Winter rapeseed for edible oil,3310604011
528,Soja,Soybean,3310201030
529,Nassreis,Wetland rice,3310107000
531,Sonnenblumen zur Speiseölgewinnung,Sunflower for edible oil,3310604020
534,Lein,Flax,3310607000
535,Hanf,Hemp,3310610000
536,Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) ,"Beans and vetches for grain production (e.g., field beans)",3301020100
537,Erbsen zur Körnergewinnung (z.B. Eiweisserbsen),"Peas for grain production (e.g., protein peas)",3301020600
538,Lupinen,Lupins,3301020700
539,Ölkürbisse,Oil pumpkins,3310702040
540,Kichererbsen,Chickpeas,3310201040
541,Tabak,Tobacco,3310601000
542,Hirse,Millet,3310109000
543,Getreide siliert,Ensiled cereals,3310198000
544,Leindotter,Camelina,3310615000
545,"Einjährige Freilandgemüse, ohne Konservengemüse","Annual open-field vegetables, excluding preserved vegetables",3310700000
546,Freiland-Konservengemüse,Open-field vegetables for preservation,3310700000
